index	section	title	bvid	aid	cid	url
17	正片	15万开“山寨蜜雪”奶茶店月亏7千，勇哥建议改烧烤，老板称烧烤没前途 @勇哥餐饮原创	BV1bwZzBqEma	116100448649376	36169646761	https://www.bilibili.com/video/BV1bwZzBqEma/
18	正片	宝妈要31万开汉堡！老公劝不住？加盟费和房租已交再连线勇哥！@勇哥餐饮原创	BV1HTZvBmEyA	116096304680142	36156802494	https://www.bilibili.com/video/BV1HTZvBmEyA/
19	正片	10万开喵辣串串月亏9千！勇哥：信我让你月赚3万 （河北任丘）@勇哥餐饮原创	BV1ozZpBTEF9	116071558284915	36070623987	https://www.bilibili.com/video/BV1ozZpBTEF9/
20	正片	30万加盟杂牌奶茶和霸王蜜雪对掏！月亏1万8 @勇哥餐饮原创	BV16oZxBpEnb	116073756166395	36079206841	https://www.bilibili.com/video/BV16oZxBpEnb/
21	正片	40万开铁板烧每月房租就要2万！月亏4万5还有救吗 @勇哥餐饮原创	BV1MnfgBdE4L	116101958666008	36175023871	https://www.bilibili.com/video/BV1MnfgBdE4L/
22	正片	大姐加盟火锅亏掉60万，再砸30万开烤鱼如今月亏1万5怎么办（广东湛江） @勇哥餐饮原创	BV1SMcEzXErq	116063656216119	36040084376	https://www.bilibili.com/video/BV1SMcEzXErq/
23	正片	负债50万加盟养生火锅！连账都不会算，只知道每天亏钱是真傻还是装傻？ @勇哥餐饮原创	BV14McqziES9	116058287571631	36017668099	https://www.bilibili.com/video/BV14McqziES9/
24	正片	血亏现场：40万盲盒店三天报废，追加到70万改音乐酒馆（上海）@勇哥餐饮原创	BV1YBcjzsEei	116062498588854	36033596981	https://www.bilibili.com/video/BV1YBcjzsEei/
25	正片	教授100万开重庆火锅，一年亏30万！每月房租就要2万 @勇哥餐饮原创	BV1HacezpEeZ	116055502490685	36001812457	https://www.bilibili.com/video/BV1HacezpEeZ/
26	正片	70万加盟自助火锅月亏5万！毛利率20％！再不吃就没了！ @勇哥餐饮原创	BV17HFSzHEBG	116045385826993	35958295376	https://www.bilibili.com/video/BV17HFSzHEBG/
27	正片	宝妈负债50万开牛肋条，亲戚员工工资高不听话，还不能开除   @勇哥餐饮原创	BV1sDcvzFEzT	116056727357000	36008231667	https://www.bilibili.com/video/BV1sDcvzFEzT/
28	正片	20万接盘月房租3万的拌饭店，以为是馅饼没想到月亏1万9  @勇哥餐饮原创	BV1G6ZTBHEws	116079309357071	36100573519	https://www.bilibili.com/video/BV1G6ZTBHEws/
29	正片	大哥31万加盟杂牌奶茶，被快招忽悠瘸了月亏1万  @勇哥餐饮原创	BV1WmZABcECC	116077833030793	36094148896	https://www.bilibili.com/video/BV1WmZABcECC/
30	正片	歌手10万加盟扁食店月亏6千！位置不行努力白费（福建厦门）@勇哥餐饮原创	BV1zmZkBYEve	116085097498870	36121282093	https://www.bilibili.com/video/BV1zmZkBYEve/
31	正片	18万加盟炸鸡架以为月入过万！实际是自己亏1万@勇哥餐饮原创	BV1s8ZLBcEVR	116067934404740	36055877923	https://www.bilibili.com/video/BV1s8ZLBcEVR/
32	正片	老表60万加盟开店被小作坊收割，前面勇哥团队拦都拦不住   @勇哥餐饮原创	BV13mcTztEGE	116040184955349	35936078017	https://www.bilibili.com/video/BV13mcTztEGE/
33	正片	父母开熟食店亏30万让小伙背锅，如今又要求在读研究生的他回家开火锅店！小伙怕了 @勇哥餐饮原创	BV1oecTzKEhf	116038456838330	35925659225	https://www.bilibili.com/video/BV1oecTzKEhf/
34	正片	姨夫拉外甥35万接盘火锅店，以为75的毛利实际天天亏钱！只因姨夫是这个品牌的股东 @勇哥餐饮原创	BV1Qvccz3EGJ	116035604709456	35916876757	https://www.bilibili.com/video/BV1Qvccz3EGJ/
35	正片	80万开披萨店月亏3万！员工平均工资八九千！	BV1eAFZziE3r	116033692108329	35907045849	https://www.bilibili.com/video/BV1eAFZziE3r/
36	正片	先开烧烤亏100万！再砸30万开小火锅！把自己干成负债70万！@勇哥餐饮原创	BV1nuFszWEhq	116028860336179	35888237716	https://www.bilibili.com/video/BV1nuFszWEhq/
37	正片	工厂老板进军机器人快餐！要做到全国连锁！勇哥气到无语至极  @勇哥餐饮原创	BV1d3FnzvEyD	116027434206940	35880632816	https://www.bilibili.com/video/BV1d3FnzvEyD/
38	正片	小伙要20万开200平的烘培店！初生牛犊不怕虎！  @勇哥餐饮原创	BV1ugFvzYEkn	116018257070937	35843148550	https://www.bilibili.com/video/BV1ugFvzYEkn/
39	正片	卖烤冷面4个月赚10万！不信可线下真实。  @勇哥餐饮原创	BV1eVFrzREhq	116022870868599	35861759811	https://www.bilibili.com/video/BV1eVFrzREhq/
40	正片	包子版三国鼎立！三家包子店打擂台只为干掉对方！2块自助小菜免费吃   @勇哥餐饮原创	BV1AoFhz1Ezf	116015740554122	35829518142	https://www.bilibili.com/video/BV1AoFhz1Ezf/
41	正片	女老板砸300万开酒吧！开业50天赔光！@勇哥餐饮原创	BV1UyfoBREpE	116012032722457	35817259716	https://www.bilibili.com/video/BV1UyfoBREpE/
42	正片	宝妈10万开姨妈热饮店，暖暖女神饮2个月赔光！	BV1gbfDBkESU	116007553271332	35801271638	https://www.bilibili.com/video/BV1gbfDBkESU/
43	正片	恭喜小伙找到黄金位置，发财指日可待！15万预算要开小碗菜！ @勇哥餐饮原创	BV1M6FLz3EFh	116006781454109	35797536690	https://www.bilibili.com/video/BV1M6FLz3EFh/
44	正片	宝妈创业楷模！5千开糖水店每天仅亏67块钱！ @勇哥餐饮原创	BV1XsFVzCEJP	116005842062453	35792423008	https://www.bilibili.com/video/BV1XsFVzCEJP/
45	正片	历史重大机遇！价值200万八千幅画想要绑定咖啡一年卖出！从此隐居东南亚	BV1GvF7zpE7k	116024514969912	35871524986	https://www.bilibili.com/video/BV1GvF7zpE7k/
46	正片	画是本老哥声明自己是很惨的人，希望大家不要嘲讽  @勇哥餐饮原创	BV1CsFZzHEMX	116033390184552	35905605280	https://www.bilibili.com/video/BV1CsFZzHEMX/
47	正片	《吃麻饼考清华》百年麻饼老店没有接班人，学徒需要一年出师 @勇哥餐饮原创	BV1sHAdz4ED6	116163531049050	36415013169	https://www.bilibili.com/video/BV1sHAdz4ED6/
48	正片	姑娘33万开杂牌奶茶只为证明自己！现每天亏4百坚持不下去了 @勇哥餐饮原创	BV1Kw6xBJE1o	115993460475428	35744907950	https://www.bilibili.com/video/BV1Kw6xBJE1o/
49	正片	小伙35万开奶茶，周围4个品牌怎么打？不亏钱不正常   @勇哥餐饮原创	BV1Ap61BiESN	115989349927474	35731541799	https://www.bilibili.com/video/BV1Ap61BiESN/
50	正片	姐弟11万开令人窒息的蛋糕店！蛋糕店里没蛋糕！ （勇哥餐饮）	BV13MkxBwEJv	115915446290935	35463497398	https://www.bilibili.com/video/BV13MkxBwEJv/
51	正片	86万打水漂！女子和闺蜜合伙开店，对方一分不出，全程忽悠傻白甜   @勇哥餐饮原创	BV13kzZB7EB5	115976716681455	35680093496	https://www.bilibili.com/video/BV13kzZB7EB5/
52	正片	40万的快餐店里摆满了各种瓷器藏品！最贵连线朴树湾文化馆  @勇哥餐饮原创	BV1nw6kBWESY	115987320015539	25955278173	https://www.bilibili.com/video/BV1nw6kBWESY/
53	正片	小伙因为不想上班，拿18万开鲜切牛肉月亏1万5。 @勇哥餐饮原创	BV1tfzXBcEd6	115973042472988	35669804067	https://www.bilibili.com/video/BV1tfzXBcEd6/
54	正片	大姐选址遇到哪吒仙饮，等哪吒洗白接手店铺   @勇哥餐饮原创	BV1jt6EBEE9B	115972337961462	35666199789	https://www.bilibili.com/video/BV1jt6EBEE9B/
55	正片	没有招牌的农村路边店，月赚18000！做餐饮不是投的多赚的就多 @勇哥餐饮原创	BV1336LBaEDw	115970190346251	35655650203	https://www.bilibili.com/video/BV1336LBaEDw/
56	正片	宝妈负债20万开糯米饭日亏500，开店不足1月坚持不下去了  @勇哥餐饮原创	BV1gc6TBTELz	115964821635175	35636447404	https://www.bilibili.com/video/BV1gc6TBTELz/
57	正片	关于冤种老板花60万，给身负百万的我打造世外桃源  @勇哥餐饮原创	BV1bTzqBDEyG	115961969576329	35630089023	https://www.bilibili.com/video/BV1bTzqBDEyG/
58	正片	大叔48万开杂牌奶茶月亏1万7！又是找不到雪王官网。。。  @勇哥餐饮原创	BV1sbzaBcEev	115958916055455	35615672222	https://www.bilibili.com/video/BV1sbzaBcEev/
59	正片	50万在老蒋故居开民宿+咖啡！房东做梦都笑醒！ @勇哥餐饮原创	BV1icz8BrEpw	115958379186049	35614492018	https://www.bilibili.com/video/BV1icz8BrEpw/
60	正片	宝妈负债60万开杂牌咖啡！因为找不到瑞幸官网，被快招截胡  @勇哥餐饮原创	BV1A1zSBVEKS	115953748672795	35598175591	https://www.bilibili.com/video/BV1A1zSBVEKS/
61	正片	小伙25万杂牌奶茶日亏500块，还不如去捡垃圾@勇哥餐饮原创	BV1KHzrBoEag	115948782618379	35580807147	https://www.bilibili.com/video/BV1KHzrBoEag/
62	正片	宝妈瞒着家人40万开咖啡，因找不到瑞幸官网被快招截胡！@勇哥餐饮原创	BV1nXz7BEENF	115933481861193	35527984738	https://www.bilibili.com/video/BV1nXz7BEENF/
63	正片	北京房租60万开猪脚饭！大哥劝不住这是开定了！ @勇哥餐饮原创	BV1oqzjBzE1W	115932156468768	35521823475	https://www.bilibili.com/video/BV1oqzjBzE1W/
64	正片	倒反天罡！18万开店还欠总部钱没给！终于赢了一次！ —勇哥餐饮	BV13TrKBMEXF	115864997337041	35284125045	https://www.bilibili.com/video/BV13TrKBMEXF/
65	正片	真赚钱轮得到你！20万接盘山洞咖啡，熟人坑你系列（ 勇哥餐饮）	BV1LdkpBaEzw	115914674536617	35459829582	https://www.bilibili.com/video/BV1LdkpBaEzw/
66	正片	面馆每月只赚3千块！勇次郎：信我让你赚10倍，每个月赚3万！	BV1wnkHBqEjT	115913634349428	35455175933	https://www.bilibili.com/video/BV1wnkHBqEjT/
67	正片	老师+会计辞职80万开水盆羊肉！每天入不敷出	BV12WkTBMEUj	115903400249601	35417556451	https://www.bilibili.com/video/BV12WkTBMEUj/
68	正片	姑娘辞职铁饭碗开中药奶茶，中药+奶茶＝养生天花板  @勇哥餐饮原创	BV1tZkNBTEU4	115901923856351	35411918924	https://www.bilibili.com/video/BV1tZkNBTEU4/
69	正片	11万加盟小火锅每天挂0蛋，小伙请律师和快招公司正面硬刚  @勇哥餐饮原创	BV1hrrfB9EWp	115897779881887	35397175435	https://www.bilibili.com/video/BV1hrrfB9EWp/
70	正片	灵山寺旁卖奶茶！一半烟火一半佛，一口清甜一念禅	BV1x7r6BtEzf	115886237155674	35355823126	https://www.bilibili.com/video/BV1x7r6BtEzf/
71	正片	大叔10万给儿子开糖水店，日亏300块他们到底错在哪？ @勇哥餐饮原创	BV1h8rnBmEDU	115892058851418	35376597787	https://www.bilibili.com/video/BV1h8rnBmEDU/
72	正片	老哥160万开江湖菜月亏4万8该如何改善？需要日销8000才能保本  @勇哥餐饮原创	BV1FsrLB2EsK	115888686628869	35367683690	https://www.bilibili.com/video/BV1FsrLB2EsK/
73	正片	两口子白嫖飞机票结果被快招收割，负债13万加盟罐罐米线每天亏钱  （勇哥餐饮）	BV1MSrBBZENo	115884777540098	35350581044	https://www.bilibili.com/video/BV1MSrBBZENo/
74	正片	75块的房租能日卖4000！老板捡大漏！房东看到就完蛋了！	BV15vrVBwEVP	115868688259109	35294087224	https://www.bilibili.com/video/BV15vrVBwEVP/
75	正片	宝妈2.9万加盟中药馒头！主打健康！养生！	BV1eRBDBwEfA	115778460320842	34965491353	https://www.bilibili.com/video/BV1eRBDBwEfA/
76	正片	老哥8万加盟福鼎肉片日亏140块，这个招牌谁知道是卖什么的？	BV1R9rABMEh4	115864108074465	35279211093	https://www.bilibili.com/video/BV1R9rABMEh4/
77	正片	老哥开蛙恋日亏200块！这招牌我都不好意思进  —勇哥餐饮	BV1gciUBCEJ6	115856692479430	35252471254	https://www.bilibili.com/video/BV1gciUBCEJ6/
78	正片	北京大兴170万加盟烤肉店，总部说1年回本。这么赚钱总部为什么不自己干？  @勇哥餐饮原创	BV1b3iXBpEtb	115858319935921	35258568352	https://www.bilibili.com/video/BV1b3iXBpEtb/
79	正片	大妈瞒着儿子偷偷开店每天只卖十几块，坚守6年没有回本。如今连线儿子希望大妈把店铺关掉	BV1vVifBLEXs	115845502145197	35214984979	https://www.bilibili.com/video/BV1vVifBLEXs/
80	正片	大哥40万接盘砂锅研究所！月亏1万怎么办？  —勇哥餐饮	BV1sZqFBPEKV	115846777148594	35219835059	https://www.bilibili.com/video/BV1sZqFBPEKV/
81	正片	京爷10万接盘第四手汉堡店日亏300块！ —勇哥餐饮	BV13jisBLEXi	115841626538254	35201748542	https://www.bilibili.com/video/BV13jisBLEXi/
82	正片	90万开店月入3万亏的付不起房租！合伙人不要钱也要退股！这是有人做假账吧？ —勇哥餐饮	BV1LyipBEEmJ	115840217319872	35196309446	https://www.bilibili.com/video/BV1LyipBEEmJ/
83	正片	小伙贷款26万开奶茶，无人扶我青云志，我自贷款上西天！	BV1GfiLBREad	115836324938175	35184116901	https://www.bilibili.com/video/BV1GfiLBREad/
84	正片	杂牌奶茶要和霸王茶姬对掏！模仿霸王！干掉霸王！成立快招好割韭菜！	BV1bJieBNEjB	115828909540694	35155217660	https://www.bilibili.com/video/BV1bJieBNEjB/
85	正片	50万加盟面馆半年亏完，大姐不会算账不签合同	BV1dYijBhEt6	115835620295958	35179266671	https://www.bilibili.com/video/BV1dYijBhEt6/
86	正片	砸60万开杂牌咖啡月亏2万只为证明自己！老婆开库迪拦不住老公  @勇哥餐饮创业说	BV15BvYBuE7S	115807568790881	25936928652	https://www.bilibili.com/video/BV15BvYBuE7S/
87	正片	面馆亏了100万后再开小火锅，如今月亏2万自嗨哥还是不听劝！—勇哥餐饮避坑	BV14ViTBWE9e	115811746316610	35088367734	https://www.bilibili.com/video/BV14ViTBWE9e/
88	正片	餐饮全年踩坑合集，快招公司最严厉的父亲：勇次郎	BV1R8i5BREX7	115817635120624	25938104643	https://www.bilibili.com/video/BV1R8i5BREX7/
89	正片	心上仁祖传中药凉茶，强肾去火秘制古方！	BV18mvdBhE27	115823154825084	35134308631	https://www.bilibili.com/video/BV18mvdBhE27/
90	正片	放弃央企工作投25万卖绵绵冰！如今负债5万月亏1万5	BV1nDvmB4E9R	115800119706742	35045836653	https://www.bilibili.com/video/BV1nDvmB4E9R/
91	正片	贷款20万在收废品院子开糖水！到底行不行？	BV1JNBrByEpy	115789197741888	35004941949	https://www.bilibili.com/video/BV1JNBrByEpy/
92	正片	韭菜贷款20万梭哈36万开杂牌奶茶！	BV1gjvzBUE7r	115795002788441	35027814330	https://www.bilibili.com/video/BV1gjvzBUE7r/
93	正片	在西藏60万加盟杂牌奶茶月亏2W，茶叶+奶茶＝真•奶茶	BV1KoBhBFEih	115784667957007	34988033795	https://www.bilibili.com/video/BV1KoBhBFEih/
94	正片	女主播40万加盟汉堡不赚钱，还要被罚款！ —勇哥餐饮避坑	BV1LZBaB7EfD	115783728368292	34984562415	https://www.bilibili.com/video/BV1LZBaB7EfD/
95	正片	40万开烘培店，总部黄了自己成总部！月亏1万还能开吗？ @勇哥餐饮原创	BV1o4fpBuEn4	116128181387325	36266771815	https://www.bilibili.com/video/BV1o4fpBuEn4/
96	正片	卧龙凤雏！十几万开个厕所门奶茶店，月亏1万！隔壁是中药炸肉 @勇哥餐饮原创	BV1pNACzSEAN	116137224373824	36307209522	https://www.bilibili.com/video/BV1pNACzSEAN/
97	正片	《把房卖了》开破产三件套！每月亏6千没救了！@勇哥餐饮原创	BV1TYArzXE5b	116136083523367	36300719681	https://www.bilibili.com/video/BV1TYArzXE5b/
98	正片	宝妈负债30万开火锅酒馆，日亏2万，15天亏光！ @勇哥餐饮原创	BV1zFAUztECc	116140445534190	36317757997	https://www.bilibili.com/video/BV1zFAUztECc/
99	正片	60万开烤鱼每天亏1千+，凭运气赚的钱凭实力亏出去  @勇哥餐饮原创	BV1HqAUzAE4r	116141921928707	36326016700	https://www.bilibili.com/video/BV1HqAUzAE4r/
100	正片	见人拉屎钩子痒！负债也要开汉堡，运营主管连自己都骗，以为自己强的可怕！在老年社区卖手作汉堡 @勇哥餐饮原创	BV1UAASzLECh	116141569738845	36323856072	https://www.bilibili.com/video/BV1UAASzLECh/
101	正片	宝妈负债30万开汉堡店，月亏1万很后悔！@勇哥餐饮原创	BV18rfeBbEVn	116133952751489	36290039488	https://www.bilibili.com/video/BV18rfeBbEVn/
102	正片	花10W马币在马来西亚开中式小碗菜，月亏2万，有救吗？	BV1LgfvBzE8V	116135445923472	36296657140	https://www.bilibili.com/video/BV1LgfvBzE8V/
103	正片	20万加盟酸奶店！拿下两个区代理以为能躺赚，开业后月亏6千 @勇哥餐饮原创	BV1KGf4BKEDU	116130211433482	36275684974	https://www.bilibili.com/video/BV1KGf4BKEDU/
104	正片	贷款30万梭哈45万加盟盈乡村拌饭，月亏1万5	BV1L8BLBaEw5	115773058056637	34944847156	https://www.bilibili.com/video/BV1L8BLBaEw5/
105	正片	健身房里卖奶茶！又增又减！健身人的快乐水！	BV1DVBWBLEFS	115761884498311	34901134866	https://www.bilibili.com/video/BV1DVBWBLEFS/
106	正片	四十万开天台露营咖啡，因为自己爱喝，王多鱼看了都摇头！	BV1pxBHBbE8C	115760844243583	34896152152	https://www.bilibili.com/video/BV1pxBHBbE8C/
107	正片	大学生50万开咖啡店4个月亏光，开始要加盟瑞幸结果被人截胡	BV1i7qUBdERn	115755895097017	34878457540	https://www.bilibili.com/video/BV1i7qUBdERn/
108	正片	花50万在街边3楼上开400平米奶茶，我看不见竞争对手就没有对手！！	BV1FZqrBLEXo	115751734215878	34865154058	https://www.bilibili.com/video/BV1FZqrBLEXo/
109	正片	50万开一家麒麟燚汉堡！加盟塔斯丁被截流负债20万还抱有幻想！	BV1xhBTBfEXD	115767823632624	34925252162	https://www.bilibili.com/video/BV1xhBTBfEXD/
110	正片	500万重庆网红街的落幕，哀乐事件后一蹶不振	BV1fFB5BAEc7	115771967538332	34940128452	https://www.bilibili.com/video/BV1fFB5BAEc7/
111	正片	大姐见人赚钱眼红！要在死亡一条街9万开一家无骨鱼。明知山有虎 偏向虎山行！	BV13pvpBzEdx	115801210226730	35050163649	https://www.bilibili.com/video/BV13pvpBzEdx/
112	正片	厂二代想要证明自己创业卖茶叶！小伙：这里没有人但是有需求！！！	BV1twvbB7E9L	115806025285936	35067069533	https://www.bilibili.com/video/BV1twvbB7E9L/
113	正片	小伙15万开财神糖水馄饨铺日亏300！还要坚持下去吗？  —勇哥餐饮	BV1tnrhBvEAe	115881304790960	35338194079	https://www.bilibili.com/video/BV1tnrhBvEAe/
114	正片	负债40万加盟上海米线！平均月亏10万全部清零！ @勇哥餐饮原创	BV1X7c4zUEcF	116051660509077	35987719019	https://www.bilibili.com/video/BV1X7c4zUEcF/
115	正片	中药火锅鸡！小伙15万开店面临倒闭如何选择？	BV1ogzsBFES6	115937608992696	35540700827	https://www.bilibili.com/video/BV1ogzsBFES6/
116	正片	贷款60万砸80万开汉堡披萨店，亏光后不甘心再砸20万接着开！（经典补档）@勇哥餐饮原创	BV1hpADznEgG	116143113110195	36332964379	https://www.bilibili.com/video/BV1hpADznEgG/
117	正片	50万开烘培大楼月赚6万！南康叙事馆要成为打卡圣地？勇哥：一年随便赚个几十万！ @勇哥餐饮原创	BV1RXAtzhEpo	116146552441084	36344431057	https://www.bilibili.com/video/BV1RXAtzhEpo/
118	正片	60万开广西鲜料爆炒，月亏1万8能救吗？ @勇哥餐饮原创	BV1LoA8zqEEc	116147005489402	36346464152	https://www.bilibili.com/video/BV1LoA8zqEEc/
119	正片	50万开牛肉海鲜火锅，8个月全亏光！48岁大哥创业燃尽了  @勇哥餐饮原创	BV17XA8zgEtM	116147324256497	36349152609	https://www.bilibili.com/video/BV17XA8zgEtM/
120	正片	23万开烧烤大排档亏钱，合伙人跑路，每月亏1万多还有救吗？ @勇哥餐饮原创	BV1JdAez9EHD	116148951646628	36359245381	https://www.bilibili.com/video/BV1JdAez9EHD/
121	正片	50万开云南菌汤火锅，每月亏2万怎么办？（桂林）@勇哥餐饮原创	BV154PMzrE3n	116153112332209	36373072814	https://www.bilibili.com/video/BV154PMzrE3n/
122	正片	加盟蜜雪被拒，嫌茶百道贵，20万开杂牌奶茶后，如今月亏6千。。。@勇哥餐饮原创	BV17HPgzXEUG	116154337069125	36379496276	https://www.bilibili.com/video/BV17HPgzXEUG/
123	正片	大姐用洗脚盆卖果汁和蜜雪冰城硬刚！看一次笑一次！（补档）—勇哥餐饮	BV15n6dBUEpq	115875768370539	35319645730	https://www.bilibili.com/video/BV15n6dBUEpq/
124	正片	小伙刷爆信用卡，30万开“猴赛雷奶茶”，还把亲姐拉下水，如今月亏2万  @勇哥餐饮原创	BV1TpAZzeEgP	116164353066839	36419931062	https://www.bilibili.com/video/BV1TpAZzeEgP/
125	正片	宝妈负债十几万开“姨妈热饮”养生奶茶，24万的投入换了天天亏钱！@勇哥餐饮原创	BV1PBPPzmEWa	116168832584766	36439329357	https://www.bilibili.com/video/BV1PBPPzmEWa/
126	正片	蛋糕仙人年销180万，苦等12年0元购隔壁汉堡店！老板赚钱后表示很迷茫 @勇哥餐饮原创	BV1LAPTzuEP6	116169335965432	36441950568	https://www.bilibili.com/video/BV1LAPTzuEP6/
127	正片	河南女VS河北男，为开店闹离婚！宝妈连线勇哥，地锅鸡到底能不能干？勇次郎化身情感主播@勇哥餐饮原创	BV1U7PrzdEJd	116175224702843	36468231095	https://www.bilibili.com/video/BV1U7PrzdEJd/
128	正片	《又富一个》60万开杂牌汉堡炸鸡，总部跑路天天亏钱，绝境变商机，小伙要暴富！（广东湛江）@勇哥餐饮原创	BV1uQPNzZED5	116170174890423	36447258015	https://www.bilibili.com/video/BV1uQPNzZED5/
129	正片	自创奶茶一年亏掉60万，运气赚钱实力亏！@勇哥餐饮原创	BV13UPjzbEPD	116158699146030	36395352304	https://www.bilibili.com/video/BV13UPjzbEPD/
130	正片	80万的房子和装修，开恺啡士汉堡！每天小亏100块。 @勇哥餐饮原创	BV1J8PjzrEr9	116158900471003	36396794009	https://www.bilibili.com/video/BV1J8PjzrEr9/
131	正片	25万开椰子甜品，被品牌方和商场收割，2个月亏光洗白@勇哥餐饮原创	BV1ZZP7z3Eyz	116160024609351	36403088081	https://www.bilibili.com/video/BV1ZZP7z3Eyz/
132	正片	宝妈负债40万开韩式烤肉，三个月亏12万！选址在老年社区店员每天躺平@勇哥餐饮原创	BV1fvPzziEAb	116174469792253	36464428477	https://www.bilibili.com/video/BV1fvPzziEAb/
133	正片	夫妻要27万接盘漂亮饭，数据全听老板说，勇哥：开了最少亏50万！@勇哥餐饮原创	BV1twPyzeEXU	116175778353002	36471768120	https://www.bilibili.com/video/BV1twPyzeEXU/
134	正片	婆媳负债12万开蛋糕店，未开业就倒闭！高血压慎重观看。@勇哥餐饮原创	BV1E4PWzoEMr	116180106936515	36489528211	https://www.bilibili.com/video/BV1E4PWzoEMr/
135	正片	勇哥V S勇茶，小伙从深圳到成都，只为月赚3千！@勇哥餐饮原创	BV1mjNVz2Ecp	116195961343211	36562469544	https://www.bilibili.com/video/BV1mjNVz2Ecp/
136	正片	烹饪教师10万开甲鱼干锅，每月亏1.2万，是接着亏还是选择转出去  @勇哥餐饮原创	BV1ewPDzZEXs	116197605507345	36568696636	https://www.bilibili.com/video/BV1ewPDzZEXs/
137	正片	负债100万开火锅店，光转让费就30万！5年回本值得吗？  注：小勇创业说餐饮  你真牛啊！全部视频、封面、标题、直接盗搬。近期不下架视频，我就提交移除申请了	BV13JNMzgERB	116192706562920	36548183962	https://www.bilibili.com/video/BV13JNMzgERB/
138	正片	宝妈创业楷模，拿5万块干餐饮，只想赚个高工资（头脑清醒）@勇哥餐饮原创	BV1RxPhz6EDk	116185928631748	36515938734	https://www.bilibili.com/video/BV1RxPhz6EDk/
139	正片	馋水煮蛙花1.8万学技术，租房被房东一逼单，直接给2万定金+1万转让费！这店要是开了女朋友就拜拜！@勇哥餐饮原创	BV1SHPpz3Emi	116180492813772	36491496062	https://www.bilibili.com/video/BV1SHPpz3Emi/
140	正片	又富一个，烧烤小伙淡季月赚1万5，只因简单相信照着做，马上旺季来临，勇哥提前恭喜发财！@勇哥餐饮原创	BV1GYPkzvE5e	116176550101046	36476421553	https://www.bilibili.com/video/BV1GYPkzvE5e/
